compound_id	compound_name	pathway	smiles	scenario_id	study_name	study_description	spike_compound	minormajor	acidity	acidity_unit	temperature	temperature_unit	CEC	CEC_unit	OC	biomass_start	biomass_end	biomass	wst_value	wst_type	humidity	humidity_conditions	soil_texture	sand	silt	clay
https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/837880a7-3ca0-44bd-a8c0-cc33fc987f4c/structure/189b6054-d792-49d1-929f-6b7732b35aa2	CO2	1,3-Dichloropropene	O=C=O	https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/scenario/8b41270a-7e24-4d58-a097-18f2fd302d79	Annex IIA 7.1.1.1.1/01, IIA 7.1.1.2.1/01, IIA 7.1.1.2.1/02, Batzer, Smith	no description				pH		&#176;C	9.6	mEq/100g		20.9	55.5	38.2		MHC	40.0		Silt loam	39.0	46.0	15.0
https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/837880a7-3ca0-44bd-a8c0-cc33fc987f4c/structure/189b6054-d792-49d1-929f-6b7732b35aa2	CO2	1-naphthylacetamide	O=C=O	https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/scenario/22a55076-7ccf-483f-b4c2-7d3f6d1fa14f	B.8.1.2.1.1, Fahrbach, M., (2009b)	no description				pH		&#176;C	17.89	mEq/100g		415.0	479.0	242.6		pF 2.5			Silt loam	26.4	4.46	9.14
https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/a6003e9c-06c5-4616-88dd-ec47d220a491/structure/2ebdc6e6-52ab-4433-8be8-e5d2d0dad441	1-methylnaphthalene	1-naphthylacetamide	Cc1cccc2ccccc12	https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/scenario/22bed58b-ca50-4256-9a16-053bae8c6449	B.8.1.2.1.1, Fahrbach, M., (2009b)	no description				pH		&#176;C	9.0	mEq/100g		274.0	200.0	240.73					Sandy loam	61.9	29.3	8.8
https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/b7857afc-ec78-46c6-9ba5-9bc98864f2d1/structure/a8a9ee96-37c4-4430-bc38-5bb4c821eae8	naphthaldehyde	1-naphthylacetamide	O=Cc1cccc2ccccc12	https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/scenario/22a55076-7ccf-483f-b4c2-7d3f6d1fa14f	B.8.1.2.1.1, Fahrbach, M., (2009b)	no description				pH		&#176;C	17.89	mEq/100g		415.0	479.0	292.3		pF 2.5			Silt loam	26.4	4.46	9.14
https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/77ca7a83-da6b-4d95-8189-76a2cf4b03d7/structure/67e05bab-0aab-4323-89ef-617328a9fb62	1-naphthalenemethanol	1-naphthylacetamide	OCc1cccc2ccccc12	https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/scenario/22a55076-7ccf-483f-b4c2-7d3f6d1fa14f	B.8.1.2.1.1, Fahrbach, M., (2009b)	no description				pH		&#176;C	17.89	mEq/100g		415.0	479.0	323.24		pF 2.5			Silt loam	26.4	4.46	9.14
https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/c8dd8052-1273-4d54-8848-1edc13bedb21/structure/84ebf8d3-5c09-457d-9ea9-88e5898a238c	2-(1-naphtyl)acetic acid (M1)	1-naphthylacetic acid (1-naphthalene acetic acid)	O=C(O)Cc1cccc2ccccc12																							
https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/a6003e9c-06c5-4616-88dd-ec47d220a491/structure/2ebdc6e6-52ab-4433-8be8-e5d2d0dad441	1-methylnaphthalene	1-naphthylacetic acid (1-naphthalene acetic acid)	Cc1cccc2ccccc12	https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/scenario/ccde4971-3039-4c7c-a683-c157c61d170f	B.8.1.1.1.2, Fahrbach, M., (2009)	no description				pH		&#176;C	8.0	mEq/100g						pF 2.5			Sandy loam	60.8	29.8	9.4
https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/837880a7-3ca0-44bd-a8c0-cc33fc987f4c/structure/189b6054-d792-49d1-929f-6b7732b35aa2	CO2	1-naphthylacetic acid (1-naphthalene acetic acid)	O=C=O	https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/scenario/b8957550-3a54-4729-a32a-3db4211e37fd	B.8.1.1.1.3, Shepler, K., (2006a)	no description				pH		&#176;C	5.5	mEq/100g						pF 2	75.0		Loamy sand	85.0	9.0	6.0
https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/77ca7a83-da6b-4d95-8189-76a2cf4b03d7/structure/67e05bab-0aab-4323-89ef-617328a9fb62	1-naphthalenemethanol	1-naphthylacetic acid (1-naphthalene acetic acid)	OCc1cccc2ccccc12	https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/scenario/ccde4971-3039-4c7c-a683-c157c61d170f	B.8.1.1.1.2, Fahrbach, M., (2009)	no description				pH		&#176;C	8.0	mEq/100g						pF 2.5			Sandy loam	60.8	29.8	9.4
https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/b7857afc-ec78-46c6-9ba5-9bc98864f2d1/structure/a8a9ee96-37c4-4430-bc38-5bb4c821eae8	naphthaldehyde	1-naphthylacetic acid (1-naphthalene acetic acid)	O=Cc1cccc2ccccc12	https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/scenario/ccde4971-3039-4c7c-a683-c157c61d170f	B.8.1.1.1.2, Fahrbach, M., (2009)	no description				pH		&#176;C	8.0	mEq/100g						pF 2.5			Sandy loam	60.8	29.8	9.4
