ID	compound_name	smiles	minor_major	depth	parent	pathway_id	pathway_name
https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/cac57bca-a6b8-407a-915f-8eb1fb46661a/structure/6901fa22-a039-46d1-816f-5c9d8fee2da2	1,3-Dichloropropene	C(=C\Cl)/CCl		0		https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/pathway/8a5620dc-f0b6-4959-a706-d253be6d17e0	1,3-Dichloropropene
https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/0bdb6cba-f7a9-4375-a0fb-b38eeef122d3/structure/b799ae3f-29f1-471f-8b55-10d39532425e	3-Chloroallyl alcohol	C(=C\Cl)/CO		1	C(=C\Cl)/CCl	https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/pathway/8a5620dc-f0b6-4959-a706-d253be6d17e0	1,3-Dichloropropene
https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/2f6e4dee-68b4-4c8f-b465-e2591f3a37a6/structure/f9cc45cd-767f-48e6-b10a-7d975dd5abf3	3-Chloroacrylic acid	C(=C\Cl)/C(=O)[O-]		2	C(=C\Cl)/CO	https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/pathway/8a5620dc-f0b6-4959-a706-d253be6d17e0	1,3-Dichloropropene
https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/a6003e9c-06c5-4616-88dd-ec47d220a491/structure/2ebdc6e6-52ab-4433-8be8-e5d2d0dad441	1-methylnaphthalene	CC1=CC=CC2=C1C=CC=C2		2	C1=CC2=C(C=C1)C(=CC=C2)CC(=O)O	https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/pathway/530c8f0b-a238-4453-ab06-ba8afa230ede	1-naphthylacetamide
https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/b7857afc-ec78-46c6-9ba5-9bc98864f2d1/structure/a8a9ee96-37c4-4430-bc38-5bb4c821eae8	naphthaldehyde	C1=CC2=C(C=C1)C(=CC=C2)C=O		4	C1=CC2=C(C=C1)C(=CC=C2)CO	https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/pathway/530c8f0b-a238-4453-ab06-ba8afa230ede	1-naphthylacetamide
https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/1f07634f-4c6e-4736-af3c-056f147f94c7/structure/7913d066-2daa-4d3b-9f1d-452571fb79f3	1-naphthylacetamide	C1=CC2=C(C=C1)C(=CC=C2)CC(=O)N		0		https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/pathway/530c8f0b-a238-4453-ab06-ba8afa230ede	1-naphthylacetamide
https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/1bb450ac-b75a-4a43-b43c-a4d1e11f61c3/structure/0cc9c9a6-7743-4756-ae4e-50e9a831e447	1-naphthoic acid (M2)	C1=CC2=C(C=C1)C(=CC=C2)C(=O)O		2	C1=CC2=C(C=C1)C(=CC=C2)C=O	https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/pathway/530c8f0b-a238-4453-ab06-ba8afa230ede	1-naphthylacetamide
https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/c8dd8052-1273-4d54-8848-1edc13bedb21/structure/84ebf8d3-5c09-457d-9ea9-88e5898a238c	2-(1-naphtyl)acetic acid (M1)	C1=CC2=C(C=C1)C(=CC=C2)CC(=O)O		1	C1=CC2=C(C=C1)C(=CC=C2)CC(=O)N	https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/pathway/530c8f0b-a238-4453-ab06-ba8afa230ede	1-naphthylacetamide
https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/77ca7a83-da6b-4d95-8189-76a2cf4b03d7/structure/67e05bab-0aab-4323-89ef-617328a9fb62	1-naphthalenemethanol	C1=CC2=C(C=C1)C(=CC=C2)CO		3	CC1=CC=CC2=C1C=CC=C2	https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/pathway/530c8f0b-a238-4453-ab06-ba8afa230ede	1-naphthylacetamide
https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/1bb450ac-b75a-4a43-b43c-a4d1e11f61c3/structure/0cc9c9a6-7743-4756-ae4e-50e9a831e447	1-naphthoic acid (M2)	C1=CC2=C(C=C1)C(=CC=C2)C(=O)O		1	C1=CC2=C(C=C1)C(=CC=C2)CC(=O)O	https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/pathway/e506bfc5-16cf-4dfa-a19a-18a7616a2c7d	1-naphthylacetic acid (1-naphthalene acetic acid)
