compound_name	source	SMILES	reported_DT50	count	halflife_comment
Regorafenib	PREMIER DAS	CNC(=O)C1=NC=CC(=C1)OC2=CC(=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F)F	181	1	
Atovaquone	PREMIER DAS	C1CC(CCC1C2=CC=C(C=C2)Cl)C3=C(C4=CC=CC=C4C(=O)C3=O)O	1	1	
Dolutegravir sodium	PREMIER DAS	C[C@@H]1CCO[C@@H]2N1C(=O)C3=C(C(=O)C(=CN3C2)C(=O)NCC4=C(C=C(C=C4)F)F)[O-]	1000	4	>
Dolutegravir sodium	PREMIER DAS	C[C@@H]1CCO[C@@H]2N1C(=O)C3=C(C(=O)C(=CN3C2)C(=O)NCC4=C(C=C(C=C4)F)F)[O-]	1000	4	>
Dolutegravir sodium	PREMIER DAS	C[C@@H]1CCO[C@@H]2N1C(=O)C3=C(C(=O)C(=CN3C2)C(=O)NCC4=C(C=C(C=C4)F)F)[O-]	1000	4	>
Dolutegravir sodium	PREMIER DAS	C[C@@H]1CCO[C@@H]2N1C(=O)C3=C(C(=O)C(=CN3C2)C(=O)NCC4=C(C=C(C=C4)F)F)[O-]	1000	4	>
Mirtazapine	PREMIER DAS	CN1CCN2C(C1)C3=CC=CC=C3CC4=C2N=CC=C4	277	4	
Mirtazapine	PREMIER DAS	CN1CCN2C(C1)C3=CC=CC=C3CC4=C2N=CC=C4	139	4	
Mirtazapine	PREMIER DAS	CN1CCN2C(C1)C3=CC=CC=C3CC4=C2N=CC=C4	124	4	
Mirtazapine	PREMIER DAS	CN1CCN2C(C1)C3=CC=CC=C3CC4=C2N=CC=C4	178	4	
Taranabant	PREMIER DAS	C[C@@H]([C@@H](CC1=CC=C(C=C1)Cl)C2=CC=CC(=C2)C#N)NC(=O)C(C)(C)OC3=NC=C(C=C3)C(F)(F)F	1386	1	
Vorapaxar sulphate	PREMIER DAS	CCOC(=O)N[C@@H]1CC[C@@H]2[C@@H](C1)C[C@@H]3[C@H]([C@H]2/C=C/C4=NC=C(C=C4)C5=CC(=CC=C5)F)[C@H](OC3=O)C	770	4	
Vorapaxar sulphate	PREMIER DAS	CCOC(=O)N[C@@H]1CC[C@@H]2[C@@H](C1)C[C@@H]3[C@H]([C@H]2/C=C/C4=NC=C(C=C4)C5=CC(=CC=C5)F)[C@H](OC3=O)C	533	4	
Vorapaxar sulphate	PREMIER DAS	CCOC(=O)N[C@@H]1CC[C@@H]2[C@@H](C1)C[C@@H]3[C@H]([C@H]2/C=C/C4=NC=C(C=C4)C5=CC(=CC=C5)F)[C@H](OC3=O)C	408	4	
Vorapaxar sulphate	PREMIER DAS	CCOC(=O)N[C@@H]1CC[C@@H]2[C@@H](C1)C[C@@H]3[C@H]([C@H]2/C=C/C4=NC=C(C=C4)C5=CC(=CC=C5)F)[C@H](OC3=O)C	408	4	
Ceritinib	PREMIER DAS	CC1=CC(=C(C=C1C2CCNCC2)OC(C)C)NC3=NC=C(C(=N3)NC4=CC=CC=C4S(=O)(=O)C(C)C)Cl	119	4	
Ceritinib	PREMIER DAS	CC1=CC(=C(C=C1C2CCNCC2)OC(C)C)NC3=NC=C(C(=N3)NC4=CC=CC=C4S(=O)(=O)C(C)C)Cl	13	4	
Ceritinib	PREMIER DAS	CC1=CC(=C(C=C1C2CCNCC2)OC(C)C)NC3=NC=C(C(=N3)NC4=CC=CC=C4S(=O)(=O)C(C)C)Cl	280	4	
Ceritinib	PREMIER DAS	CC1=CC(=C(C=C1C2CCNCC2)OC(C)C)NC3=NC=C(C(=N3)NC4=CC=CC=C4S(=O)(=O)C(C)C)Cl	508	4	
Nilotinib	PREMIER DAS	CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)C(F)(F)F)N3C=C(N=C3)C)NC4=NC=CC(=N4)C5=CN=CC=C5	172.9	3	
Nilotinib	PREMIER DAS	CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)C(F)(F)F)N3C=C(N=C3)C)NC4=NC=CC(=N4)C5=CN=CC=C5	22.6	3	
Nilotinib	PREMIER DAS	CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)C(F)(F)F)N3C=C(N=C3)C)NC4=NC=CC(=N4)C5=CN=CC=C5	16.7	3	
Panobinostat lactate	PREMIER DAS	CC1=C(C2=CC=CC=C2N1)CCNCC3=CC=C(C=C3)/C=C/C(=O)NO	0.7	3	
Panobinostat lactate	PREMIER DAS	CC1=C(C2=CC=CC=C2N1)CCNCC3=CC=C(C=C3)/C=C/C(=O)NO	0.7	3	
Panobinostat lactate	PREMIER DAS	CC1=C(C2=CC=CC=C2N1)CCNCC3=CC=C(C=C3)/C=C/C(=O)NO	1.5	3	
Orlistat	PREMIER DAS	CCCCCCCCCCC[C@@H](C[C@H]1[C@@H](C(=O)O1)CCCCCC)OC(=O)[C@H](CC(C)C)NC=O	3.5	4	
Orlistat	PREMIER DAS	CCCCCCCCCCC[C@@H](C[C@H]1[C@@H](C(=O)O1)CCCCCC)OC(=O)[C@H](CC(C)C)NC=O	8.5	4	
Orlistat	PREMIER DAS	CCCCCCCCCCC[C@@H](C[C@H]1[C@@H](C(=O)O1)CCCCCC)OC(=O)[C@H](CC(C)C)NC=O	11.1	4	
Orlistat	PREMIER DAS	CCCCCCCCCCC[C@@H](C[C@H]1[C@@H](C(=O)O1)CCCCCC)OC(=O)[C@H](CC(C)C)NC=O	2.4	4	
Vemurafenib	PREMIER DAS	CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)C4=CC=C(C=C4)Cl)F	1000	4	>
Vemurafenib	PREMIER DAS	CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)C4=CC=C(C=C4)Cl)F	1000	4	>
Vemurafenib	PREMIER DAS	CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)C4=CC=C(C=C4)Cl)F	1000	4	>
Vemurafenib	PREMIER DAS	CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)C4=CC=C(C=C4)Cl)F	1000	4	>
Elbasvir	PREMIER DAS	CC(C)[C@@H](C(=O)N1CCC[C@H]1C2=NC=C(N2)C3=CC4=C(C=C3)N5[C@@H](OC6=C(C5=C4)C=CC(=C6)C7=CN=C(N7)[C@@H]8CCCN8C(=O)[C@H](C(C)C)NC(=O)OC)C9=CC=CC=C9)NC(=O)OC	1000	4	>
Elbasvir	PREMIER DAS	CC(C)[C@@H](C(=O)N1CCC[C@H]1C2=NC=C(N2)C3=CC4=C(C=C3)N5[C@@H](OC6=C(C5=C4)C=CC(=C6)C7=CN=C(N7)[C@@H]8CCCN8C(=O)[C@H](C(C)C)NC(=O)OC)C9=CC=CC=C9)NC(=O)OC	1000	4	>
Elbasvir	PREMIER DAS	CC(C)[C@@H](C(=O)N1CCC[C@H]1C2=NC=C(N2)C3=CC4=C(C=C3)N5[C@@H](OC6=C(C5=C4)C=CC(=C6)C7=CN=C(N7)[C@@H]8CCCN8C(=O)[C@H](C(C)C)NC(=O)OC)C9=CC=CC=C9)NC(=O)OC	1000	4	>
Elbasvir	PREMIER DAS	CC(C)[C@@H](C(=O)N1CCC[C@H]1C2=NC=C(N2)C3=CC4=C(C=C3)N5[C@@H](OC6=C(C5=C4)C=CC(=C6)C7=CN=C(N7)[C@@H]8CCCN8C(=O)[C@H](C(C)C)NC(=O)OC)C9=CC=CC=C9)NC(=O)OC	1000	4	>
Decamethyltetrasiloxane	ECHA	C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C	3.7	6	
Decamethyltetrasiloxane	ECHA	C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C	4.5	6	
Decamethyltetrasiloxane	ECHA	C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C	10	6	
Decamethyltetrasiloxane	ECHA	C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C	106.6	6	
Decamethyltetrasiloxane	ECHA	C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C	29	6	
Decamethyltetrasiloxane	ECHA	C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C	1.2	6	
4-(1-methyl-1-phenylethyl)-N-[4-(1-methyl-1 phenylethyl)phenyl]aniline	ECHA	CC(C)(C1=CC=CC=C1)C1=CC=C(NC2=CC=C(C=C2)C(C)(C)C2=CC=CC=C2)C=C1	37.5	4	
4-(1-methyl-1-phenylethyl)-N-[4-(1-methyl-1 phenylethyl)phenyl]aniline	ECHA	CC(C)(C1=CC=CC=C1)C1=CC=C(NC2=CC=C(C=C2)C(C)(C)C2=CC=CC=C2)C=C1	117	4	
4-(1-methyl-1-phenylethyl)-N-[4-(1-methyl-1 phenylethyl)phenyl]aniline	ECHA	CC(C)(C1=CC=CC=C1)C1=CC=C(NC2=CC=C(C=C2)C(C)(C)C2=CC=CC=C2)C=C1	183	4	
4-(1-methyl-1-phenylethyl)-N-[4-(1-methyl-1 phenylethyl)phenyl]aniline	ECHA	CC(C)(C1=CC=CC=C1)C1=CC=C(NC2=CC=C(C=C2)C(C)(C)C2=CC=CC=C2)C=C1	95.6	4	
1,3,4,6,7,8-hexahydro-4,6,6,7,8,8-hexamethylindeno[5,6-c]pyran	ECHA	CC1C(C)(C)C2=CC3=C(C=C2C1(C)C)C(C)COC3	239	3	
1,3,4,6,7,8-hexahydro-4,6,6,7,8,8-hexamethylindeno[5,6-c]pyran	ECHA	CC1C(C)(C)C2=CC3=C(C=C2C1(C)C)C(C)COC3	95	3	
1,3,4,6,7,8-hexahydro-4,6,6,7,8,8-hexamethylindeno[5,6-c]pyran	ECHA	CC1C(C)(C)C2=CC3=C(C=C2C1(C)C)C(C)COC3	105	3	
Octamethyltrisiloxane	ECHA	C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C	119.5	10	
Octamethyltrisiloxane	ECHA	C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C	6.19	10	
Octamethyltrisiloxane	ECHA	C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C	3.62	10	
Octamethyltrisiloxane	ECHA	C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C	1.48	10	
Octamethyltrisiloxane	ECHA	C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C	0.26	10	
Octamethyltrisiloxane	ECHA	C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C	19.9	10	
Octamethyltrisiloxane	ECHA	C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C	0.96	10	
Octamethyltrisiloxane	ECHA	C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C	96.3	10	
Octamethyltrisiloxane	ECHA	C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C	4.98	10	
Octamethyltrisiloxane	ECHA	C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C	0.53	10	
N-(1,4-dimethylpentyl)-N'-phenylbenzene-1,4-diamine	ECHA	CC(C)CCC(C)NC1=CC=C(NC2=CC=CC=C2)C=C1	0.03	4	
N-(1,4-dimethylpentyl)-N'-phenylbenzene-1,4-diamine	ECHA	CC(C)CCC(C)NC1=CC=C(NC2=CC=CC=C2)C=C1	1.4	4	
N-(1,4-dimethylpentyl)-N'-phenylbenzene-1,4-diamine	ECHA	CC(C)CCC(C)NC1=CC=C(NC2=CC=CC=C2)C=C1	1.4	4	
N-(1,4-dimethylpentyl)-N'-phenylbenzene-1,4-diamine	ECHA	CC(C)CCC(C)NC1=CC=C(NC2=CC=CC=C2)C=C1	1.9	4	
N,N-dicyclohexylbenzothiazole-2-sulphenamide	ECHA	C1CCC(CC1)N(SC1=NC2=C(S1)C=CC=C2)C1CCCCC1	783	5	
