Combined_ID	CanonicalSMILES	Name	logB	stdev
aus_data_99+swe2_data_383	CC1CNC(=O)NC1=O	Dihydrothymine	-0.3711210672581807	0.34746164686139963
amar_data_242+amar_data_58+swe2_data_129	O=Cc1c[nH]c2ccccc12	3-Formylindole	-0.7567700764696226	0.33022328021323355
swe2_data_115	COc1ccc(C=CC(=O)O)cc1OC	3,4-Dimethoxycinnamic acid	-1.6574324339112945	0.6689290384445711
swe2_data_707	CCC(=O)OC(Cc1ccccc1)(c1ccccc1)C(C)CN(C)C	Propoxyphene	-0.09497544657826491	
swe2_data_775	CCCCCCCCCCCCCCOS(=O)(=O)O	Tetradecylsulfate	-0.16628908689092503	0.11713165765979551
swe2_data_160	Oc1ccc(Cl)cc1	4-Chlorophenol	-0.891542900376262	0.42570379078245874
aus_data_290+swe2_data_59	O=C(O)COc1ccc(Cl)cc1Cl	2,4-Dichlorophenoxyacetic acid	-0.7484808530972165	0.8665416566140725
aus_data_74+amar_data_160+swe2_data_321	CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21	Citalopram	-0.337000744246192	0.6045317169726082
aus_data_126+amar_data_241	O=C(O)C=Cc1c[nH]c2ccccc12	Indole-3-acrylic acid	-3.0875496510839957	0.7330313265668705
aus_data_47	CCCCCC=CC=CC(=O)CCCCCCCC(=O)O	9-Oxo-10(E),12(E)-octadecadienoic acid	-1.306439962280719	0.12278249702543163
swe2_data_308	CCCC(C)(COC(N)=O)COC(=O)NC(C)C	Carisoprodol	-0.1088837640715073	
aus_data_233+amar_data_378+snf_data_2903+swe2_data_738	NC(CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F	Sitagliptin	-0.2152353301700443	0.21580013512716217
swe2_data_668	CC(C)(N)Cc1ccccc1	Phentermine	-0.5022602572425007	0.41729000487458023
aus_data_17	Cc1cncc(C)n1	2,6-Dimethylpyrazine	-1.1276581849548686	0.27669707253551484
amar_data_392+swe2_data_754	COc1ccc(NS(=O)(=O)c2ccc(N)cc2)nn1	Sulfamethoxypyridazine	-0.07675636564216896	0.12762121307582489
swe2_data_124	Nc1cccc(C(=O)O)c1	3-aminobenzoic acid	-0.49891365219622796	0.24807697240438897
aus_data_292	N#Cc1c(NCCO)ccc([N+](=O)[O-])c1NCCO	2,6-Bis(2-hydroxyethylamino)-3-nitrobenzonitrile	-2.0066407177936414	0.14094716098156032
aus_data_43	Cc1ccc(C(N)=O)cn1	6-Methylnicotinamide	-0.8717255673449706	0.3880636496873314
aus_data_341+swe2_data_227	CC(=O)NC(Cc1ccccc1)C(=O)O	N-Acetyl-L-phenylalanine	-0.8109924938023433	0.5207789601478533
amar_data_151+swe2_data_306	NC(=O)N1c2ccccc2C2OC2c2ccccc21	Carbamazepine-10,11-epoxide	-0.5106109135477179	0.8091921860545553
swe2_data_537	CC(C)CC(N)C(=O)NC(CC(C)C)C(=O)NC(CCCCN)C(=O)O	LLK	-0.8744945363990494	0.4933081682766279
swe2_data_257	COC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)O	Aspartame	-0.3573823436026079	0.11321527623761868
swe2_data_821	CCCCCCCCCCC(=O)O	Undecanoic acid	-0.28649514175045615	0.3346979773413855
aus_data_83+amar_data_176+swe2_data_347	CC(C)CC1NC(=O)C2CCCN2C1=O	Cyclo(leucylprolyl)	-2.4123078797263373	0.6028670805452002
amar_data_115	[2H]C([2H])([2H])C(C#N)(c1cc(Cn2cncn2)cc(C(C#N)(C([2H])([2H])[2H])C([2H])([2H])[2H])c1)C([2H])([2H])[2H]	anastrozole-d12	0.10021757904467277	0.03463917199809205
aus_data_261+swe2_data_805	CC1CN2CC(C)OB(O1)OC(C)C2	Triisopropanolamine cyclic borate	-0.5234113255043227	0.204440235688673
aus_data_313+amar_data_101+snf_data_2756+swe2_data_223	CC1=CC(=O)NS(=O)(=O)O1	Acesulfame	-2.12161836454099	0.894592002197328
aus_data_23+amar_data_54+swe2_data_125	Nc1cccc(O)c1	3-Aminophenol	-1.0690101921225896	0.6708248242082667
