CanonicalSMILES	Name	Combined_ID	drop_duplicates	ClogP	dataset	SMILES	InChIKey
C#CCN(C)C(C)Cc1ccccc1	Deprenyl	snf_data_3275	True	2.1826	snf	CC(CC1=CC=CC=C1)N(C)CC#C	MEZLKOACVSPNER-UHFFFAOYSA-N
C#CCN(C)Cc1ccccc1	Pargyline	amar_data_345+snf_data_3004+swe2_data_653	True	1.7516	amar+snf+swe2	CN(CC#C)CC1=CC=CC=C1	DPWPWRLQFGFJFI-UHFFFAOYSA-N
C(=Cc1ccncc1)c1ccccc1	4-styrylpyridine	swe2_data_189	True	3.2520000000000016	swe2	C1=CC=C(C=C1)/C=C/C2=CC=NC=C2	QKHRGPYNTXRMSL-VOTSOKGWSA-N
C1CCC(NC2CCCCC2)CC1	Dicyclohexylamine	swe2_data_375	True	3.2414000000000023	swe2	C1CCC(CC1)NC2CCCCC2	XBPCUCUWBYBCDP-UHFFFAOYSA-N
C1CCNCC1	Piperidine	amar_data_357	True	0.7599	amar	C1CCNCC1	NQRYJNQNLNOLGT-UHFFFAOYSA-N
C=C(C(=O)O)C(CCCCCCO)C(=O)O	2-(6-Hydroxyhexyl)-3-methylenesuccinic acid	swe2_data_54	True	1.2708	swe2	C=C(C(CCCCCCO)C(=O)O)C(=O)O	DHVXMTMJTVCPBB-UHFFFAOYSA-N
C=C(C)C1CC=C(C)C(=O)C1	Carvone	aus_data_71+swe2_data_309	True	2.4879000000000007	aus+swe2	CC1=CCC(CC1=O)C(=C)C	ULDHMXUKGWMISQ-UHFFFAOYSA-N
C=C(C)C1CC=C(C=NO)CC1	Perillartine	aus_data_207	True	2.749000000000001	aus	CC(=C)C1CCC(=CC1)/C=N/O	XCOJIVIDDFTHGB-YRNVUSSQSA-N
C=C(C)n1c(=O)[nH]c2ccccc21	1-(prop-1-en-2-yl)-1H-benzo[d]imidazol-2(3H)-one	amar_data_21	True	1.8202	amar	CC(=C)N1C2=CC=CC=C2NC1=O	XFASJWLBXHWUMW-UHFFFAOYSA-N
C=C(CC(=O)O)C(=O)O	2-Propene-1,2-dicarboxylic acid	swe2_data_103	True	0.1018999999999998	swe2	C=C(CC(=O)O)C(=O)O	LVHBHZANLOWSRM-UHFFFAOYSA-N
C=C1C(=O)OC(CCCCCCCC)C1C(=O)O	(+/-)-C75	amar_data_0+swe2_data_1	True	2.9194000000000013	amar+swe2	CCCCCCCCC1C(C(=C)C(=O)O1)C(=O)O	VCWLZDVWHQVAJU-UHFFFAOYSA-N
C=C1C2CCC3(C)C(c4ccoc4)OC(=O)CC13OC1CC(=O)C(C)(C)C(C(O)C(=O)OC)C12C	6-Hydroxyangolensic acid methyl ester	aus_data_158	True	3.533100000000002	aus	C[C@@]12CCC3C(=C)[C@]1(CC(=O)O[C@H]2C4=COC=C4)O[C@@H]5[C@]3([C@H](C(C(=O)C5)(C)C)C(C(=O)OC)O)C	GOYZKWCPWBKPIG-RNKBQGBYSA-N
C=C1CC23CC1(O)CCC2C12C=CC(O)C(C)(C(=O)O1)C2C3C(=O)O	Gibberellic acid	swe2_data_451	True	1.0271	swe2	C[C@@]12[C@H](C=C[C@@]3([C@@H]1[C@@H]([C@]45[C@H]3CC[C@](C4)(C(=C)C5)O)C(=O)O)OC2=O)O	IXORZMNAPKEEDV-OBDJNFEBSA-N
