Opera_logHL	Opera_logP	Opera_logKoc	OperaSMILES	CanonicalSMILES	EPI_HL	EPI_logHL
-5.24	2.9	2.51	CC(CC1C=CC=CC=1)N(C)CC#C	C#CCN(C)C(C)Cc1ccccc1	1.13e-06	-5.946921557
-3.98	2.66	2.1	CN(CC#C)CC1C=CC=CC=1	C#CCN(C)Cc1ccccc1	6.43e-07	-6.191789027
-4.38	2.72	2.81	C1=CC=CC=C1C=CC1C=CN=CC=1	C(=Cc1ccncc1)c1ccccc1	5.48e-08	-7.261219442
-5.61	3.5	2.54	C1CCCCC1NC1CCCCC1	C1CCC(NC2CCCCC2)CC1	5.5e-05	-4.259637311
-5.36	0.84	1.19	C1CCCCN1	C1CCNCC1	4.45e-06	-5.351639989
-10.14	1.36	2.43	C=C(C(CCCCCCO)C(O)=O)C(O)=O	C=C(C(=O)O)C(CCCCCCO)C(=O)O	6.74e-16	-15.1713401
-4.72	2.36	2.33	CC1=CCC(CC1=O)C(C)=C	C=C(C)C1CC=C(C)C(=O)C1	7.73e-05	-4.111820506
-8.7	2.18	3.31	CC(=C)C1CC=C(CC1)C=NO	C=C(C)C1CC=C(C=NO)CC1	2.28e-05	-4.642065153
-7.67	1.51		CC(=C)[n]1c(=O)[nH]c2ccccc12	C=C(C)n1c(=O)[nH]c2ccccc21	2.84e-08	-7.54668166
-11.29	-0.35	1.36	C=C(CC(O)=O)C(O)=O	C=C(CC(=O)O)C(=O)O	3.37e-12	-11.4723701
-9.11	2.84	2.82	CCCCCCCCC1OC(=O)C(=C)C1C(O)=O	C=C1C(=O)OC(CCCCCCCC)C1C(=O)O	4.58e-09	-8.339134522
-8.01	2.81	4.76	CC1(C)C(C(O)C(=O)OC)C2(C)C3CCC4(C)C(OC(=O)CC4(OC2CC1=O)C3=C)C1=COC=C1	C=C1C2CCC3(C)C(c4ccoc4)OC(=O)CC13OC1CC(=O)C(C)(C)C(C(O)C(=O)OC)C12C	9.63e-14	-13.01637371
-9.9	0.24	4.59	CC12C3C(C(O)=O)C45CC(O)(CCC4C3(C=CC1O)OC2=O)C(=C)C5	C=C1CC23CC1(O)CCC2C12C=CC(O)C(C)(C(=O)O1)C2C3C(=O)O	1.58e-15	-14.80134291
-6.29	3.7	5.67	CC12CCC3C(CC(=C)C4=CC(=O)C=CC43C)C1CCC2=O	C=C1CC2C(CCC3(C)C(=O)CCC23)C2(C)C=CC(=O)C=C12	1.64e-08	-7.785156152
